nc_code,description,heading_4_code,heading_4_description,intermediate_heading,intermediate_is_residual,heading_6_code,heading_6_description,heading_6_is_residual,subheading,subheading_is_residual,leaf_description,leaf_is_residual,parent_code,has_residual_ancestor,duty_rate,duty_text,supplementary_unit,source_document,source_section,source_page,source_excerpt
85258200,"Appareils d'émission pour la radiodiffusion ou la télévision, même incorporant un appareil de réception ou un appareil d'enregistrement ou de reproduction du son; caméras de télévision, appareils photographiques numériques et caméscopes: — Cameras de télévision, appareils photographiques numériques et caméscopes: — autres, résistants aux rayonnements, mentionnés dans la note 2 de sous- positions du présent chapitre",8525,"Appareils d'émission pour la radiodiffusion ou la télévision, même incorporant un appareil de réception ou un appareil d'enregistrement ou de reproduction du son; caméras de télévision, appareils photographiques numériques et caméscopes:","Cameras de télévision, appareils photographiques numériques et caméscopes:",False,852582,,,,,"autres, résistants aux rayonnements, mentionnés dans la note 2 de sous- positions du présent chapitre",False,852582,False,0.0,exemption,p/st,Nomenclature combinée 2024,,630,"Appareils d'émission pour la radiodiffusion ou la télévision, même incorporant un appareil de réception ou un appareil d'enregistrement ou de reproduction du son; caméras de télévision, appareils photographiques numériques et caméscopes: — Cameras de télévision, appareils photographiques numériques et caméscopes: — autres, résistants aux rayonnements, mentionnés dans la note 2 de sous- positions du présent chapitre"
85258300,"Appareils d'émission pour la radiodiffusion ou la télévision, même incorporant un appareil de réception ou un appareil d'enregistrement ou de reproduction du son; caméras de télévision, appareils photographiques numériques et caméscopes: — Cameras de télévision, appareils photographiques numériques et caméscopes: — autres, à vision nocturne, mentionnés dans la note 3 de sous-positions du présent chapitre",8525,"Appareils d'émission pour la radiodiffusion ou la télévision, même incorporant un appareil de réception ou un appareil d'enregistrement ou de reproduction du son; caméras de télévision, appareils photographiques numériques et caméscopes:","Cameras de télévision, appareils photographiques numériques et caméscopes:",False,852583,,,,,"autres, à vision nocturne, mentionnés dans la note 3 de sous-positions du présent chapitre",False,852583,False,0.0,exemption,p/st,Nomenclature combinée 2024,,630,"Appareils d'émission pour la radiodiffusion ou la télévision, même incorporant un appareil de réception ou un appareil d'enregistrement ou de reproduction du son; caméras de télévision, appareils photographiques numériques et caméscopes: — Cameras de télévision, appareils photographiques numériques et caméscopes: — autres, à vision nocturne, mentionnés dans la note 3 de sous-positions du présent chapitre"
85258900,"Appareils d'émission pour la radiodiffusion ou la télévision, même incorporant un appareil de réception ou un appareil d'enregistrement ou de reproduction du son; caméras de télévision, appareils photographiques numériques et caméscopes: — Cameras de télévision, appareils photographiques numériques et caméscopes: — autres",8525,"Appareils d'émission pour la radiodiffusion ou la télévision, même incorporant un appareil de réception ou un appareil d'enregistrement ou de reproduction du son; caméras de télévision, appareils photographiques numériques et caméscopes:","Cameras de télévision, appareils photographiques numériques et caméscopes:",False,852589,,,,,autres,True,852589,False,0.0,exemption,p/st,Nomenclature combinée 2024,,630,"Appareils d'émission pour la radiodiffusion ou la télévision, même incorporant un appareil de réception ou un appareil d'enregistrement ou de reproduction du son; caméras de télévision, appareils photographiques numériques et caméscopes: — Cameras de télévision, appareils photographiques numériques et caméscopes: — autres"
85261000,"Appareils de radiodétection et de radiosondage (radar), appareils de radionavigation et appareils de radiotélécommande: — Appareils de radiodétection et de radiosondage (radar) autres:",8526,"Appareils de radiodétection et de radiosondage (radar), appareils de radionavigation et appareils de radiotélécommande:",,,852610,,,,,Appareils de radiodétection et de radiosondage (radar) autres:,False,852610,False,0.0,exemption,,Nomenclature combinée 2024,,630,"Appareils de radiodétection et de radiosondage (radar), appareils de radionavigation et appareils de radiotélécommande: — Appareils de radiodétection et de radiosondage (radar) autres:"
85269120,"Appareils de radiodétection et de radiosondage (radar), appareils de radionavigation et appareils de radiotélécommande: — Appareils de radionavigation: — Récepteurs de radionavigation",8526,"Appareils de radiodétection et de radiosondage (radar), appareils de radionavigation et appareils de radiotélécommande:",,,852691,Appareils de radionavigation:,False,,,Récepteurs de radionavigation,False,852691,False,0.0,exemption,p/st,Nomenclature combinée 2024,,630,"Appareils de radiodétection et de radiosondage (radar), appareils de radionavigation et appareils de radiotélécommande: — Appareils de radionavigation: — Récepteurs de radionavigation"
85269180,"Appareils de radiodétection et de radiosondage (radar), appareils de radionavigation et appareils de radiotélécommande: — Appareils de radionavigation: — autres",8526,"Appareils de radiodétection et de radiosondage (radar), appareils de radionavigation et appareils de radiotélécommande:",,,852691,Appareils de radionavigation:,False,,,autres,True,852691,False,0.0,exemption,,Nomenclature combinée 2024,,630,"Appareils de radiodétection et de radiosondage (radar), appareils de radionavigation et appareils de radiotélécommande: — Appareils de radionavigation: — autres"
85269200,"Appareils de radiodétection et de radiosondage (radar), appareils de radionavigation et appareils de radiotélécommande: — Appareils de radiotélécommande",8526,"Appareils de radiodétection et de radiosondage (radar), appareils de radionavigation et appareils de radiotélécommande:",,,852692,,,,,Appareils de radiotélécommande,False,852692,False,0.0,exemption,,Nomenclature combinée 2024,,630,"Appareils de radiodétection et de radiosondage (radar), appareils de radionavigation et appareils de radiotélécommande: — Appareils de radiotélécommande"
85271200,"Appareils récepteurs pour la radiodiffusion, même combinés, sous une même enveloppe, à un appareil d'enregistrement ou de reproduction du son ou à un appareil d'horlogerie: — Appareils récepteurs de radiodiffusion pouvant fonctionner sans source d'énergie extérieure: — Radiocassettes de poche",8527,"Appareils récepteurs pour la radiodiffusion, même combinés, sous une même enveloppe, à un appareil d'enregistrement ou de reproduction du son ou à un appareil d'horlogerie:",Appareils récepteurs de radiodiffusion pouvant fonctionner sans source d'énergie extérieure:,False,852712,,,,,Radiocassettes de poche,False,852712,False,0.0,exemption,p/st,Nomenclature combinée 2024,,630,"Appareils récepteurs pour la radiodiffusion, même combinés, sous une même enveloppe, à un appareil d'enregistrement ou de reproduction du son ou à un appareil d'horlogerie: — Appareils récepteurs de radiodiffusion pouvant fonctionner sans source d'énergie extérieure: — Radiocassettes de poche"
85271300,"Appareils récepteurs pour la radiodiffusion, même combinés, sous une même enveloppe, à un appareil d'enregistrement ou de reproduction du son ou à un appareil d'horlogerie: — Appareils récepteurs de radiodiffusion pouvant fonctionner sans source d'énergie extérieure: — autres appareils combinés à un appareil d'enregistrement ou de reproduction du son",8527,"Appareils récepteurs pour la radiodiffusion, même combinés, sous une même enveloppe, à un appareil d'enregistrement ou de reproduction du son ou à un appareil d'horlogerie:",Appareils récepteurs de radiodiffusion pouvant fonctionner sans source d'énergie extérieure:,False,852713,,,,,autres appareils combinés à un appareil d'enregistrement ou de reproduction du son,True,852713,False,0.0,exemption,p/st,Nomenclature combinée 2024,,630,"Appareils récepteurs pour la radiodiffusion, même combinés, sous une même enveloppe, à un appareil d'enregistrement ou de reproduction du son ou à un appareil d'horlogerie: — Appareils récepteurs de radiodiffusion pouvant fonctionner sans source d'énergie extérieure: — autres appareils combinés à un appareil d'enregistrement ou de reproduction du son"
85271900,"Appareils récepteurs pour la radiodiffusion, même combinés, sous une même enveloppe, à un appareil d'enregistrement ou de reproduction du son ou à un appareil d'horlogerie: — Appareils récepteurs de radiodiffusion pouvant fonctionner sans source d'énergie extérieure: — autres",8527,"Appareils récepteurs pour la radiodiffusion, même combinés, sous une même enveloppe, à un appareil d'enregistrement ou de reproduction du son ou à un appareil d'horlogerie:",Appareils récepteurs de radiodiffusion pouvant fonctionner sans source d'énergie extérieure:,False,852719,,,,,autres,True,852719,False,0.0,exemption,p/st,Nomenclature combinée 2024,,630,"Appareils récepteurs pour la radiodiffusion, même combinés, sous une même enveloppe, à un appareil d'enregistrement ou de reproduction du son ou à un appareil d'horlogerie: — Appareils récepteurs de radiodiffusion pouvant fonctionner sans source d'énergie extérieure: — autres"
