nc_code,description,heading_4_code,heading_4_description,intermediate_heading,intermediate_is_residual,heading_6_code,heading_6_description,heading_6_is_residual,subheading,subheading_is_residual,leaf_description,leaf_is_residual,parent_code,has_residual_ancestor,duty_rate,duty_text,supplementary_unit,source_document,source_section,source_page,source_excerpt
85241100,"Modules d'affichage à écran plat, même comprenant des écrans tactiles: Sans pilotes ni circuits de commande: — à cristaux liquides",8524,"Modules d'affichage à écran plat, même comprenant des écrans tactiles: Sans pilotes ni circuits de commande:",,,852411,,,,,à cristaux liquides,False,852411,False,0.0,exemption,p/st,Nomenclature combinée 2024,,629,"Modules d'affichage à écran plat, même comprenant des écrans tactiles: Sans pilotes ni circuits de commande: — à cristaux liquides"
85241200,"Modules d'affichage à écran plat, même comprenant des écrans tactiles: Sans pilotes ni circuits de commande: — -- à diodes émettrices de lumière organiques (OLED)",8524,"Modules d'affichage à écran plat, même comprenant des écrans tactiles: Sans pilotes ni circuits de commande:",,,852412,,,,,-- à diodes émettrices de lumière organiques (OLED),False,852412,False,0.0,exemption,p/st,Nomenclature combinée 2024,,629,"Modules d'affichage à écran plat, même comprenant des écrans tactiles: Sans pilotes ni circuits de commande: — -- à diodes émettrices de lumière organiques (OLED)"
85241900,"Modules d'affichage à écran plat, même comprenant des écrans tactiles: Sans pilotes ni circuits de commande: — autres",8524,"Modules d'affichage à écran plat, même comprenant des écrans tactiles: Sans pilotes ni circuits de commande:",,,852419,,,,,autres,True,852419,False,0.0,exemption,p/st,Nomenclature combinée 2024,,629,"Modules d'affichage à écran plat, même comprenant des écrans tactiles: Sans pilotes ni circuits de commande: — autres"
85249100,"Modules d'affichage à écran plat, même comprenant des écrans tactiles: Sans pilotes ni circuits de commande: — autres: — à cristaux liquides",8524,"Modules d'affichage à écran plat, même comprenant des écrans tactiles: Sans pilotes ni circuits de commande:",autres:,True,852491,,,,,à cristaux liquides,False,852491,True,0.0,exemption,p/st,Nomenclature combinée 2024,,629,"Modules d'affichage à écran plat, même comprenant des écrans tactiles: Sans pilotes ni circuits de commande: — autres: — à cristaux liquides"
85249200,"Modules d'affichage à écran plat, même comprenant des écrans tactiles: Sans pilotes ni circuits de commande: — autres: — à diodes émettrices de lumière organiques (OLED)",8524,"Modules d'affichage à écran plat, même comprenant des écrans tactiles: Sans pilotes ni circuits de commande:",autres:,True,852492,,,,,à diodes émettrices de lumière organiques (OLED),False,852492,True,0.0,exemption,p/st,Nomenclature combinée 2024,,629,"Modules d'affichage à écran plat, même comprenant des écrans tactiles: Sans pilotes ni circuits de commande: — autres: — à diodes émettrices de lumière organiques (OLED)"
85249900,"Modules d'affichage à écran plat, même comprenant des écrans tactiles: Sans pilotes ni circuits de commande: — autres: — autres",8524,"Modules d'affichage à écran plat, même comprenant des écrans tactiles: Sans pilotes ni circuits de commande:",autres:,True,852499,,,,,autres,True,852499,True,0.0,exemption,p/st,Nomenclature combinée 2024,,629,"Modules d'affichage à écran plat, même comprenant des écrans tactiles: Sans pilotes ni circuits de commande: — autres: — autres"
85255000,"Appareils d'émission pour la radiodiffusion ou la télévision, même incorporant un appareil de réception ou un appareil d'enregistrement ou de reproduction du son; caméras de télévision, appareils photographiques numériques et caméscopes: — Appareils d'émission",8525,"Appareils d'émission pour la radiodiffusion ou la télévision, même incorporant un appareil de réception ou un appareil d'enregistrement ou de reproduction du son; caméras de télévision, appareils photographiques numériques et caméscopes:",,,852550,,,,,Appareils d'émission,False,852550,False,0.0,exemption,p/st,Nomenclature combinée 2024,,629,"Appareils d'émission pour la radiodiffusion ou la télévision, même incorporant un appareil de réception ou un appareil d'enregistrement ou de reproduction du son; caméras de télévision, appareils photographiques numériques et caméscopes: — Appareils d'émission"
85256000,"Appareils d'émission pour la radiodiffusion ou la télévision, même incorporant un appareil de réception ou un appareil d'enregistrement ou de reproduction du son; caméras de télévision, appareils photographiques numériques et caméscopes: — Appareils d'émission incorporant un appareil de réception",8525,"Appareils d'émission pour la radiodiffusion ou la télévision, même incorporant un appareil de réception ou un appareil d'enregistrement ou de reproduction du son; caméras de télévision, appareils photographiques numériques et caméscopes:",,,852560,,,,,Appareils d'émission incorporant un appareil de réception,False,852560,False,0.0,exemption,p/st,Nomenclature combinée 2024,,629,"Appareils d'émission pour la radiodiffusion ou la télévision, même incorporant un appareil de réception ou un appareil d'enregistrement ou de reproduction du son; caméras de télévision, appareils photographiques numériques et caméscopes: — Appareils d'émission incorporant un appareil de réception"
85258100,"Appareils d'émission pour la radiodiffusion ou la télévision, même incorporant un appareil de réception ou un appareil d'enregistrement ou de reproduction du son; caméras de télévision, appareils photographiques numériques et caméscopes: — Cameras de télévision, appareils photographiques numériques et caméscopes: — Ultrarapides, mentionnés dans la note 1 de sous-positions du présent chapitre",8525,"Appareils d'émission pour la radiodiffusion ou la télévision, même incorporant un appareil de réception ou un appareil d'enregistrement ou de reproduction du son; caméras de télévision, appareils photographiques numériques et caméscopes:","Cameras de télévision, appareils photographiques numériques et caméscopes:",False,852581,,,,,"Ultrarapides, mentionnés dans la note 1 de sous-positions du présent chapitre",False,852581,False,0.0,exemption,p/st,Nomenclature combinée 2024,,629,"Appareils d'émission pour la radiodiffusion ou la télévision, même incorporant un appareil de réception ou un appareil d'enregistrement ou de reproduction du son; caméras de télévision, appareils photographiques numériques et caméscopes: — Cameras de télévision, appareils photographiques numériques et caméscopes: — Ultrarapides, mentionnés dans la note 1 de sous-positions du présent chapitre"
