nc_code,description,heading_4_code,heading_4_description,intermediate_heading,intermediate_is_residual,heading_6_code,heading_6_description,heading_6_is_residual,subheading,subheading_is_residual,leaf_description,leaf_is_residual,parent_code,has_residual_ancestor,duty_rate,duty_text,supplementary_unit,source_document,source_section,source_page,source_excerpt
85444993,"Fils, câbles (y compris les câbles coaxiaux) et autres conducteurs isolés pour l'électricité (même laqués ou oxydés anodiquement), munis ou non de pièces de connexion; câbles de fibres optiques, constitués de fibres gainées individuellement, même comportant des conducteurs électriques ou munis de pièces de connexion: — autres conducteurs électriques, pour tensions n'excédant pas 1 000 V: — autres: — autres: — pour tensions n'excédant pas 80 V",8544,"Fils, câbles (y compris les câbles coaxiaux) et autres conducteurs isolés pour l'électricité (même laqués ou oxydés anodiquement), munis ou non de pièces de connexion; câbles de fibres optiques, constitués de fibres gainées individuellement, même comportant des conducteurs électriques ou munis de pièces de connexion:","autres conducteurs électriques, pour tensions n'excédant pas 1 000 V:",True,854449,autres:,True,autres:,True,pour tensions n'excédant pas 80 V,False,854449,True,3.7,"3,7",,Nomenclature combinée 2024,,642,"Fils, câbles (y compris les câbles coaxiaux) et autres conducteurs isolés pour l'électricité (même laqués ou oxydés anodiquement), munis ou non de pièces de connexion; câbles de fibres optiques, constitués de fibres gainées individuellement, même comportant des conducteurs électriques ou munis de pièces de connexion: — autres conducteurs électriques, pour tensions n'excédant pas 1 000 V: — autres: — autres: — pour tensions n'excédant pas 80 V"
85444995,"Fils, câbles (y compris les câbles coaxiaux) et autres conducteurs isolés pour l'électricité (même laqués ou oxydés anodiquement), munis ou non de pièces de connexion; câbles de fibres optiques, constitués de fibres gainées individuellement, même comportant des conducteurs électriques ou munis de pièces de connexion: — autres conducteurs électriques, pour tensions n'excédant pas 1 000 V: — autres: — autres: — pour tensions excédant 80 V mais inférieures à 1 000 V",8544,"Fils, câbles (y compris les câbles coaxiaux) et autres conducteurs isolés pour l'électricité (même laqués ou oxydés anodiquement), munis ou non de pièces de connexion; câbles de fibres optiques, constitués de fibres gainées individuellement, même comportant des conducteurs électriques ou munis de pièces de connexion:","autres conducteurs électriques, pour tensions n'excédant pas 1 000 V:",True,854449,autres:,True,autres:,True,pour tensions excédant 80 V mais inférieures à 1 000 V,False,854449,True,3.7,"3,7",,Nomenclature combinée 2024,,642,"Fils, câbles (y compris les câbles coaxiaux) et autres conducteurs isolés pour l'électricité (même laqués ou oxydés anodiquement), munis ou non de pièces de connexion; câbles de fibres optiques, constitués de fibres gainées individuellement, même comportant des conducteurs électriques ou munis de pièces de connexion: — autres conducteurs électriques, pour tensions n'excédant pas 1 000 V: — autres: — autres: — pour tensions excédant 80 V mais inférieures à 1 000 V"
85444999,"Fils, câbles (y compris les câbles coaxiaux) et autres conducteurs isolés pour l'électricité (même laqués ou oxydés anodiquement), munis ou non de pièces de connexion; câbles de fibres optiques, constitués de fibres gainées individuellement, même comportant des conducteurs électriques ou munis de pièces de connexion: — autres conducteurs électriques, pour tensions n'excédant pas 1 000 V: — autres: — autres: — pour une tension de 1 000 V",8544,"Fils, câbles (y compris les câbles coaxiaux) et autres conducteurs isolés pour l'électricité (même laqués ou oxydés anodiquement), munis ou non de pièces de connexion; câbles de fibres optiques, constitués de fibres gainées individuellement, même comportant des conducteurs électriques ou munis de pièces de connexion:","autres conducteurs électriques, pour tensions n'excédant pas 1 000 V:",True,854449,autres:,True,autres:,True,pour une tension de 1 000 V,False,854449,True,3.7,"3,7",,Nomenclature combinée 2024,,642,"Fils, câbles (y compris les câbles coaxiaux) et autres conducteurs isolés pour l'électricité (même laqués ou oxydés anodiquement), munis ou non de pièces de connexion; câbles de fibres optiques, constitués de fibres gainées individuellement, même comportant des conducteurs électriques ou munis de pièces de connexion: — autres conducteurs électriques, pour tensions n'excédant pas 1 000 V: — autres: — autres: — pour une tension de 1 000 V"
85446010,"Fils, câbles (y compris les câbles coaxiaux) et autres conducteurs isolés pour l'électricité (même laqués ou oxydés anodiquement), munis ou non de pièces de connexion; câbles de fibres optiques, constitués de fibres gainées individuellement, même comportant des conducteurs électriques ou munis de pièces de connexion: — autres conducteurs électriques, pour tensions excédant 1 000 V: — avec conducteur en cuivre",8544,"Fils, câbles (y compris les câbles coaxiaux) et autres conducteurs isolés pour l'électricité (même laqués ou oxydés anodiquement), munis ou non de pièces de connexion; câbles de fibres optiques, constitués de fibres gainées individuellement, même comportant des conducteurs électriques ou munis de pièces de connexion:",,,854460,"autres conducteurs électriques, pour tensions excédant 1 000 V:",True,,,avec conducteur en cuivre,False,854460,True,3.7,"3,7",,Nomenclature combinée 2024,,642,"Fils, câbles (y compris les câbles coaxiaux) et autres conducteurs isolés pour l'électricité (même laqués ou oxydés anodiquement), munis ou non de pièces de connexion; câbles de fibres optiques, constitués de fibres gainées individuellement, même comportant des conducteurs électriques ou munis de pièces de connexion: — autres conducteurs électriques, pour tensions excédant 1 000 V: — avec conducteur en cuivre"
85446090,"Fils, câbles (y compris les câbles coaxiaux) et autres conducteurs isolés pour l'électricité (même laqués ou oxydés anodiquement), munis ou non de pièces de connexion; câbles de fibres optiques, constitués de fibres gainées individuellement, même comportant des conducteurs électriques ou munis de pièces de connexion: — autres conducteurs électriques, pour tensions excédant 1 000 V: — avec autres conducteurs",8544,"Fils, câbles (y compris les câbles coaxiaux) et autres conducteurs isolés pour l'électricité (même laqués ou oxydés anodiquement), munis ou non de pièces de connexion; câbles de fibres optiques, constitués de fibres gainées individuellement, même comportant des conducteurs électriques ou munis de pièces de connexion:",,,854460,"autres conducteurs électriques, pour tensions excédant 1 000 V:",True,,,avec autres conducteurs,False,854460,True,3.7,"3,7",,Nomenclature combinée 2024,,642,"Fils, câbles (y compris les câbles coaxiaux) et autres conducteurs isolés pour l'électricité (même laqués ou oxydés anodiquement), munis ou non de pièces de connexion; câbles de fibres optiques, constitués de fibres gainées individuellement, même comportant des conducteurs électriques ou munis de pièces de connexion: — autres conducteurs électriques, pour tensions excédant 1 000 V: — avec autres conducteurs"
85447000,"Fils, câbles (y compris les câbles coaxiaux) et autres conducteurs isolés pour l'électricité (même laqués ou oxydés anodiquement), munis ou non de pièces de connexion; câbles de fibres optiques, constitués de fibres gainées individuellement, même comportant des conducteurs électriques ou munis de pièces de connexion: — Câbles de fibres optiques",8544,"Fils, câbles (y compris les câbles coaxiaux) et autres conducteurs isolés pour l'électricité (même laqués ou oxydés anodiquement), munis ou non de pièces de connexion; câbles de fibres optiques, constitués de fibres gainées individuellement, même comportant des conducteurs électriques ou munis de pièces de connexion:",,,854470,,,,,Câbles de fibres optiques,False,854470,False,0.0,exemption,,Nomenclature combinée 2024,,642,"Fils, câbles (y compris les câbles coaxiaux) et autres conducteurs isolés pour l'électricité (même laqués ou oxydés anodiquement), munis ou non de pièces de connexion; câbles de fibres optiques, constitués de fibres gainées individuellement, même comportant des conducteurs électriques ou munis de pièces de connexion: — Câbles de fibres optiques"
85451100,"Électrodes en charbon, balais en charbon, charbons pour lampes ou pour piles et autres articles en graphite ou en autre carbone, avec ou sans métal, pour usages électriques: — Électrodes: — des types utilisés pour fours",8545,"Électrodes en charbon, balais en charbon, charbons pour lampes ou pour piles et autres articles en graphite ou en autre carbone, avec ou sans métal, pour usages électriques:",Électrodes:,False,854511,,,,,des types utilisés pour fours,False,854511,False,2.7,"2,7",,Nomenclature combinée 2024,,642,"Électrodes en charbon, balais en charbon, charbons pour lampes ou pour piles et autres articles en graphite ou en autre carbone, avec ou sans métal, pour usages électriques: — Électrodes: — des types utilisés pour fours"
85451900,"Électrodes en charbon, balais en charbon, charbons pour lampes ou pour piles et autres articles en graphite ou en autre carbone, avec ou sans métal, pour usages électriques: — Électrodes: — autres",8545,"Électrodes en charbon, balais en charbon, charbons pour lampes ou pour piles et autres articles en graphite ou en autre carbone, avec ou sans métal, pour usages électriques:",Électrodes:,False,854519,,,,,autres,True,854519,False,2.7,"2,7",,Nomenclature combinée 2024,,642,"Électrodes en charbon, balais en charbon, charbons pour lampes ou pour piles et autres articles en graphite ou en autre carbone, avec ou sans métal, pour usages électriques: — Électrodes: — autres"
85452000,"Électrodes en charbon, balais en charbon, charbons pour lampes ou pour piles et autres articles en graphite ou en autre carbone, avec ou sans métal, pour usages électriques: — Balais",8545,"Électrodes en charbon, balais en charbon, charbons pour lampes ou pour piles et autres articles en graphite ou en autre carbone, avec ou sans métal, pour usages électriques:",,,854520,,,,,Balais,False,854520,False,2.7,"2,7",,Nomenclature combinée 2024,,642,"Électrodes en charbon, balais en charbon, charbons pour lampes ou pour piles et autres articles en graphite ou en autre carbone, avec ou sans métal, pour usages électriques: — Balais"
85459010,"Électrodes en charbon, balais en charbon, charbons pour lampes ou pour piles et autres articles en graphite ou en autre carbone, avec ou sans métal, pour usages électriques: — autres: — Résistances chauffantes",8545,"Électrodes en charbon, balais en charbon, charbons pour lampes ou pour piles et autres articles en graphite ou en autre carbone, avec ou sans métal, pour usages électriques:",,,854590,autres:,True,,,Résistances chauffantes,False,854590,True,1.7,"1,7",,Nomenclature combinée 2024,,642,"Électrodes en charbon, balais en charbon, charbons pour lampes ou pour piles et autres articles en graphite ou en autre carbone, avec ou sans métal, pour usages électriques: — autres: — Résistances chauffantes"
